"Raw Data File","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",1027502,"Glyc_13C2",33.047
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",142206,"Glyc_13C3",0.171
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",42838,"Glyc_13C4",1.09
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",5202,"Glyc_13C5",0.025
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",5315,"Glyc_13C6",0.151
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",1843,"",NA
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",1911157,"Glyc_13C0",65.562
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",313581,"Glyc_13C1",0.076
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",1101163,"Glyc_13C2",32.916
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",154077,"Glyc_13C3",0.223
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",45115,"Glyc_13C4",1.054
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",5435,"Glyc_13C5",0.024
"GlycHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",5482,"Glyc_13C6",0.145
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",2513,"",NA
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",3363647,"Glyc_13C0",63.19
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",550138,"Glyc_13C1",0.023
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",2156304,"Glyc_13C2",35.468
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",296382,"Glyc_13C3",0.143
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",81887,"Glyc_13C4",1.033
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",9870,"Glyc_13C5",0.025
"GlycHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",8296,"Glyc_13C6",0.118
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",4438,"",NA
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",6759189,"Glyc_13C0",63.469
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",1087145,"Glyc_13C1",-0.139
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",4307168,"Glyc_13C2",35.435
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",584913,"Glyc_13C3",0.08
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",160139,"Glyc_13C4",1.009
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",19652,"Glyc_13C5",0.027
"GlycHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",16704,"Glyc_13C6",0.119
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",3714,"",NA
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",4562771,"Glyc_13C0",63.306
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",741265,"Glyc_13C1",-0.042
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",2919742,"Glyc_13C2",35.48
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",397099,"Glyc_13C3",0.089
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",109987,"Glyc_13C4",1.028
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",12962,"Glyc_13C5",0.02
"GlycHyp2_03.CDF","Glucose","1,1,0,0,0,0","48","3","2","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",11290,"Glyc_13C6",0.119
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",3970,"",NA
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",5564173,"Glyc_13C0",64.194
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",907901,"Glyc_13C1",0.008
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",3409599,"Glyc_13C2",34.381
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",468160,"Glyc_13C3",0.135
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",140652,"Glyc_13C4",1.121
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",17388,"Glyc_13C5",0.029
"GlycHyp3_01.CDF","Glucose","1,1,0,0,0,0","48","1","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",15014,"Glyc_13C6",0.132
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",3618,"",NA
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",6209370,"Glyc_13C0",64.138
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",1011002,"Glyc_13C1",-0.014
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",3814652,"Glyc_13C2",34.445
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",524055,"Glyc_13C3",0.137
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",158819,"Glyc_13C4",1.136
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",19339,"Glyc_13C5",0.027
"GlycHyp3_02.CDF","Glucose","1,1,0,0,0,0","48","2","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",16576,"Glyc_13C6",0.13
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",876,"",NA
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",1001508,"Glyc_13C0",63.948
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",167025,"Glyc_13C1",0.226
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",616159,"Glyc_13C2",34.352
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",85239,"Glyc_13C3",0.174
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",25781,"Glyc_13C4",1.138
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",3266,"Glyc_13C5",0.034
"GlycHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",2657,"Glyc_13C6",0.128
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",775,"",NA
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",169962,"Glyc_13C0",99.939
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",27215,"Glyc_13C1",0.007
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",5465,"Glyc_13C2",0.043
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",681,"Glyc_13C3",0.003
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",159,"Glyc_13C4",0.005
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",43,"Glyc_13C5",0.004
"GlycCom1_01.CDF","","","","1","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",7,"Glyc_13C6",0
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",880,"",NA
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",184642,"Glyc_13C0",100.017
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",29566,"Glyc_13C1",0.007
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",5806,"Glyc_13C2",-0.023
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",727,"Glyc_13C3",0.005
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",155,"Glyc_13C4",-0.004
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",32,"Glyc_13C5",-0.003
"GlycCom1_02.CDF","","","","2","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",7,"Glyc_13C6",0.001
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",1410,"",NA
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",311944,"Glyc_13C0",100.024
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",49901,"Glyc_13C1",-0.008
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",9846,"Glyc_13C2",-0.01
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",1202,"Glyc_13C3",-0.004
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",271,"Glyc_13C4",0
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",62,"Glyc_13C5",-0.001
"GlycCom1_03.CDF","","","","3","1","","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",7,"Glyc_13C6",-0.001
"LacHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","327",2741,"",NA
"LacHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","328",96907,"Lac_13C0",80.968
"LacHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","329",11858,"Lac_13C1",0.342
"LacHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","330",24967,"Lac_13C2",18.702
"LacHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","331",2252,"Lac_13C3",-0.012
"LacHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","332",250,"",NA
"LacHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","327",202879,"",NA
"LacHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","328",7670682,"Lac_13C0",80.997
"LacHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","329",927486,"Lac_13C1",0.226
"LacHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","330",1979804,"Lac_13C2",18.755
"LacHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","331",181833,"Lac_13C3",0.023
"LacHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","327",182821,"",NA
"LacHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","328",6937517,"Lac_13C0",80.949
"LacHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","329",836095,"Lac_13C1",0.191
"LacHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","330",1799598,"Lac_13C2",18.848
"LacHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","331",164267,"Lac_13C3",0.012
"LacHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","327",204750,"",NA
"LacHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","328",7885236,"Lac_13C0",81.146
"LacHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","329",945811,"Lac_13C1",0.152
"LacHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","330",2025378,"Lac_13C2",18.702
"LacHyp2_01.CDF","Glucose","1,1,0,0,0,0","48","1","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","331",183732,"Lac_13C3",0.001
"LacHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","327",34865,"",NA
"LacHyp2_02.CDF","Glucose","1,1,0,0,0,0","48","2","2","40","Lactate","CHEBI:24996","C1-C3","C10H13O3NF7","328",1300930,"Lac_13C0",80.721
